epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66705,1.29696,3.64511,1.426,0.74792,0.0403,0.11925,0.09335,1.23065,3.52201,1.38293,0.0705,0.00327778,0.00327778
2,15.8097,1.33295,2.9198,1.42009,0.29278,0.20182,0.21702,0.14955,1.40707,2.83902,1.41771,0.0404345,0.00654566,0.00654566
3,22.999,1.38207,2.54857,1.44565,0.24328,0.32575,0.24564,0.16345,1.41314,2.55211,1.54478,0.0103031,0.00974754,0.00974754
4,30.1997,1.4305,2.43878,1.44119,0.23141,0.20719,0.11281,0.06724,1.79058,3.83421,1.66828,0.009703,0.009703,0.009703
5,37.1636,1.42922,2.34819,1.45492,0.31684,0.3777,0.31594,0.20114,1.4967,2.25323,1.50048,0.009604,0.009604,0.009604
6,43.8621,1.4429,2.25773,1.48478,0.32395,0.31718,0.27469,0.17165,1.51031,2.51266,1.65021,0.009505,0.009505,0.009505
7,50.6479,1.42812,2.15361,1.45775,0.35997,0.37519,0.30094,0.18651,1.51139,2.36207,1.53509,0.009406,0.009406,0.009406
8,57.3726,1.39359,2.11665,1.44509,0.41418,0.34135,0.33644,0.21194,1.45267,2.27243,1.51277,0.009307,0.009307,0.009307
9,64.3742,1.40553,2.07535,1.44199,0.3589,0.38939,0.32104,0.19011,1.48914,2.14103,1.48896,0.009208,0.009208,0.009208
10,71.1368,1.34919,1.91288,1.41533,0.35522,0.43247,0.35319,0.21766,1.47833,2.01931,1.46727,0.009109,0.009109,0.009109
11,77.8525,1.36635,1.9112,1.41107,0.42871,0.44024,0.36508,0.21407,1.48087,2.16582,1.53876,0.00901,0.00901,0.00901
12,85.4777,1.32966,1.85723,1.38463,0.43916,0.49042,0.40318,0.26987,1.42604,2.09396,1.44934,0.008911,0.008911,0.008911
13,92.2564,1.31922,1.81801,1.38618,0.51536,0.49154,0.4696,0.3167,1.34471,1.78423,1.42091,0.008812,0.008812,0.008812
14,99.2985,1.31928,1.79043,1.39399,0.4334,0.44626,0.3884,0.24669,1.42774,2.01166,1.48102,0.008713,0.008713,0.008713
15,105.973,1.30802,1.75381,1.38332,0.38312,0.44285,0.33755,0.21686,1.47558,2.28724,1.50336,0.008614,0.008614,0.008614
16,112.897,1.30733,1.72654,1.36243,0.40404,0.48014,0.42483,0.27716,1.36814,2.01191,1.45135,0.008515,0.008515,0.008515
17,120.011,1.3056,1.66659,1.35433,0.54631,0.40152,0.4252,0.28782,1.34686,1.93214,1.40692,0.008416,0.008416,0.008416
18,127.046,1.29846,1.6744,1.3668,0.415,0.49939,0.41281,0.269,1.34206,1.83098,1.42437,0.008317,0.008317,0.008317
19,133.634,1.27769,1.63002,1.36288,0.5032,0.43058,0.42922,0.27723,1.39429,1.90098,1.461,0.008218,0.008218,0.008218
20,140.706,1.28601,1.6072,1.3525,0.55017,0.50917,0.48873,0.31567,1.33533,1.78498,1.40769,0.008119,0.008119,0.008119
21,147.776,1.23207,1.52782,1.32965,0.49786,0.47367,0.43635,0.28616,1.3456,1.9122,1.43356,0.00802,0.00802,0.00802
22,154.377,1.25176,1.55578,1.32384,0.49933,0.48253,0.46365,0.29836,1.34296,1.85707,1.41637,0.007921,0.007921,0.007921
23,161.53,1.2776,1.54024,1.33845,0.51125,0.52692,0.48606,0.31152,1.33986,1.699,1.41687,0.007822,0.007822,0.007822
24,168.076,1.21441,1.5158,1.31424,0.516,0.52135,0.50422,0.32741,1.33094,1.7086,1.43279,0.007723,0.007723,0.007723
25,174.779,1.22498,1.49687,1.3152,0.54306,0.4841,0.48538,0.33003,1.30008,1.7371,1.38255,0.007624,0.007624,0.007624
