epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0298,1.302,3.75625,1.43515,0.01032,0.40112,0.1076,0.08532,1.14718,3.60144,1.28445,0.0688611,0.00163889,0.00163889
2,17.3335,1.29214,3.20791,1.40285,0.26752,0.25828,0.22593,0.17038,1.24005,2.78635,1.37018,0.0370854,0.00319647,0.00319647
3,24.1773,1.30114,2.72243,1.42543,0.29728,0.31846,0.29215,0.20774,1.27742,2.53317,1.46504,0.00519961,0.00464406,0.00464406
4,31.1403,1.29196,2.49223,1.39125,0.38595,0.41037,0.34264,0.2286,1.27266,2.19653,1.38954,0.004505,0.004505,0.004505
5,38.3109,1.26747,2.32356,1.38663,0.44002,0.41453,0.38224,0.25174,1.27979,2.19102,1.40505,0.00434,0.00434,0.00434
6,45.3542,1.2619,2.21587,1.37801,0.49078,0.42542,0.39974,0.27225,1.22224,2.13563,1.36392,0.004175,0.004175,0.004175
7,52.1675,1.25114,2.07406,1.35092,0.51725,0.45072,0.46714,0.31676,1.21003,1.92817,1.3599,0.00401,0.00401,0.00401
8,58.9764,1.21309,2.0147,1.32946,0.45874,0.52916,0.46943,0.31918,1.19686,1.86978,1.32774,0.003845,0.003845,0.003845
9,66.6026,1.21845,2.00269,1.32716,0.4846,0.54181,0.47166,0.32932,1.18536,1.85528,1.30162,0.00368,0.00368,0.00368
10,73.3997,1.17409,1.84952,1.3035,0.5999,0.45675,0.5017,0.34336,1.19665,1.78765,1.3229,0.003515,0.003515,0.003515
11,80.092,1.18022,1.81704,1.29556,0.54976,0.52399,0.51485,0.35239,1.19892,1.79513,1.31657,0.00335,0.00335,0.00335
12,87.2024,1.16001,1.77647,1.27321,0.55451,0.49464,0.47592,0.32871,1.15458,1.82959,1.27569,0.003185,0.003185,0.003185
13,94.1857,1.13581,1.76063,1.27294,0.54358,0.53926,0.52496,0.37148,1.15816,1.69583,1.29753,0.00302,0.00302,0.00302
14,100.978,1.12757,1.694,1.27348,0.48238,0.541,0.51185,0.35654,1.15635,1.71958,1.29745,0.002855,0.002855,0.002855
15,108.4,1.11344,1.65234,1.25431,0.53685,0.55499,0.53203,0.36684,1.16648,1.63963,1.26909,0.00269,0.00269,0.00269
16,115.223,1.11755,1.64408,1.23733,0.5775,0.53928,0.5443,0.3764,1.1425,1.61509,1.25769,0.002525,0.002525,0.002525
17,122.129,1.12845,1.59862,1.23559,0.54652,0.54118,0.53101,0.36197,1.17756,1.68915,1.2821,0.00236,0.00236,0.00236
18,128.931,1.10366,1.59857,1.23608,0.548,0.58324,0.55958,0.38963,1.13548,1.56771,1.24214,0.002195,0.002195,0.002195
19,136.014,1.07419,1.52627,1.23254,0.56803,0.54907,0.53989,0.37756,1.13876,1.62197,1.26627,0.00203,0.00203,0.00203
20,143.111,1.09985,1.51749,1.22794,0.56713,0.58149,0.56048,0.3865,1.14504,1.5748,1.2579,0.001865,0.001865,0.001865
21,150.756,1.03367,1.6148,1.20018,0.52001,0.56993,0.53048,0.36975,1.1614,1.63865,1.28695,0.0017,0.0017,0.0017
22,157.668,1.0269,1.56597,1.20173,0.58062,0.58288,0.5742,0.39617,1.12999,1.51686,1.26259,0.001535,0.001535,0.001535
23,164.467,0.99912,1.52494,1.17514,0.58752,0.57868,0.57637,0.40084,1.14151,1.53276,1.25708,0.00137,0.00137,0.00137
24,171.283,0.98144,1.49123,1.16014,0.59,0.53521,0.54723,0.39192,1.13276,1.60209,1.2643,0.001205,0.001205,0.001205
25,177.993,0.99259,1.49232,1.17155,0.63708,0.51419,0.57157,0.39773,1.13213,1.54393,1.25919,0.00104,0.00104,0.00104
26,184.8,0.96326,1.43729,1.16064,0.61852,0.53825,0.56409,0.38991,1.15739,1.57977,1.26856,0.000875,0.000875,0.000875
27,191.558,0.95871,1.40851,1.15626,0.56123,0.59929,0.57534,0.40493,1.13042,1.51111,1.25038,0.00071,0.00071,0.00071
28,198.445,0.95599,1.39039,1.14243,0.56095,0.59679,0.57269,0.40193,1.11998,1.50772,1.24085,0.000545,0.000545,0.000545
29,205.243,0.96582,1.41184,1.15123,0.5935,0.55663,0.5718,0.40285,1.11894,1.51245,1.24327,0.00038,0.00038,0.00038
30,212.159,0.92614,1.36157,1.14002,0.61916,0.54396,0.58406,0.41155,1.11106,1.49914,1.24401,0.000215,0.000215,0.000215
