epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66075,1.30904,3.77457,1.44163,0.01011,0.39685,0.07815,0.06146,1.16796,3.61041,1.31023,0.0813167,0.000983333,0.000983333
2,16.0384,1.28067,3.3467,1.39494,0.21918,0.20917,0.18733,0.1381,1.22379,2.97928,1.35961,0.0622512,0.00191788,0.00191788
3,23.3242,1.28176,2.84744,1.41674,0.31829,0.32823,0.28427,0.20633,1.23999,2.54141,1.42896,0.0431198,0.00278643,0.00278643
4,30.2593,1.26773,2.60757,1.37704,0.31225,0.31163,0.2553,0.17601,1.34061,2.55945,1.45654,0.0239223,0.00358898,0.00358898
5,37.2017,1.25404,2.38522,1.37472,0.38595,0.39235,0.32162,0.21746,1.27606,2.39629,1.37016,0.00465887,0.00432553,0.00432553
6,44.2319,1.26884,2.25565,1.38043,0.46863,0.40147,0.36258,0.2462,1.2905,2.23513,1.41932,0.004175,0.004175,0.004175
7,51.0167,1.24811,2.12724,1.34218,0.48276,0.4527,0.44618,0.30027,1.22294,2.02212,1.37102,0.00401,0.00401,0.00401
8,57.8042,1.22936,2.04978,1.3469,0.48362,0.44669,0.44396,0.30192,1.22961,1.9634,1.35627,0.003845,0.003845,0.003845
9,64.7796,1.22743,2.03446,1.33829,0.45499,0.5176,0.43657,0.30012,1.20549,1.94233,1.32281,0.00368,0.00368,0.00368
10,71.5463,1.17881,1.89725,1.32109,0.51292,0.45457,0.45302,0.31395,1.23053,1.88992,1.34291,0.003515,0.003515,0.003515
11,78.5281,1.17818,1.83907,1.29338,0.47912,0.49377,0.46324,0.31281,1.20059,1.89195,1.34165,0.00335,0.00335,0.00335
12,85.3909,1.15683,1.7859,1.27818,0.49665,0.51241,0.46643,0.33057,1.16633,1.90632,1.27943,0.003185,0.003185,0.003185
13,92.3128,1.13429,1.78211,1.26945,0.5151,0.52073,0.51875,0.36544,1.16641,1.76499,1.32628,0.00302,0.00302,0.00302
14,99.1667,1.13208,1.72219,1.27061,0.50765,0.50971,0.50328,0.35249,1.1626,1.81509,1.3174,0.002855,0.002855,0.002855
15,105.951,1.1217,1.67364,1.26618,0.55939,0.5436,0.54375,0.37453,1.16577,1.64861,1.27469,0.00269,0.00269,0.00269
16,112.849,1.13104,1.66082,1.2465,0.49185,0.56019,0.51677,0.3565,1.17125,1.71645,1.29782,0.002525,0.002525,0.002525
17,119.622,1.13558,1.61192,1.24745,0.55131,0.49572,0.50309,0.34468,1.19454,1.79652,1.31153,0.00236,0.00236,0.00236
18,126.466,1.10597,1.60992,1.23587,0.52438,0.54191,0.5272,0.36619,1.15725,1.61821,1.27736,0.002195,0.002195,0.002195
19,133.44,1.08077,1.54425,1.23216,0.52053,0.57149,0.54808,0.37353,1.16673,1.65474,1.2854,0.00203,0.00203,0.00203
20,140.624,1.11425,1.54018,1.23784,0.55369,0.5503,0.55513,0.38141,1.16057,1.63515,1.28792,0.001865,0.001865,0.001865
21,148.345,1.03606,1.62869,1.19886,0.55021,0.56268,0.55947,0.38882,1.13449,1.58247,1.26668,0.0017,0.0017,0.0017
22,155.347,1.02584,1.58605,1.19805,0.61093,0.53104,0.5712,0.39893,1.14875,1.54442,1.26765,0.001535,0.001535,0.001535
23,162.182,0.9952,1.54188,1.17492,0.55795,0.60978,0.59772,0.42307,1.13332,1.50755,1.27056,0.00137,0.00137,0.00137
24,169.1,0.98832,1.50807,1.16686,0.58741,0.52484,0.56845,0.39627,1.11903,1.56158,1.24868,0.001205,0.001205,0.001205
25,175.9,0.99183,1.51142,1.17353,0.6031,0.55211,0.60376,0.42326,1.10493,1.51145,1.25266,0.00104,0.00104,0.00104
26,182.775,0.96634,1.43893,1.16367,0.61532,0.56719,0.58837,0.40741,1.12836,1.52155,1.25316,0.000875,0.000875,0.000875
27,189.563,0.96442,1.41282,1.15681,0.57132,0.60438,0.59886,0.41638,1.11615,1.48956,1.25432,0.00071,0.00071,0.00071
28,196.649,0.95411,1.3947,1.14632,0.62119,0.57576,0.59444,0.41814,1.10682,1.48049,1.2498,0.000545,0.000545,0.000545
29,203.397,0.97685,1.42427,1.16034,0.62969,0.54755,0.59203,0.41928,1.10454,1.48128,1.24196,0.00038,0.00038,0.00038
30,210.194,0.9189,1.36869,1.13691,0.58856,0.58042,0.59615,0.42008,1.10117,1.48581,1.24106,0.000215,0.000215,0.000215
