epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66279,1.30581,3.75401,1.433,0.00946,0.4027,0.10132,0.07889,1.15524,3.58707,1.27879,0.0688611,0.00163889,0.00163889
2,16.1802,1.29623,3.19466,1.39686,0.45627,0.26178,0.22096,0.16834,1.26106,2.83915,1.38703,0.0370854,0.00319647,0.00319647
3,23.2913,1.30744,2.71762,1.41832,0.51125,0.28835,0.28399,0.20226,1.28151,2.52724,1.45122,0.00519961,0.00464406,0.00464406
4,30.5856,1.29606,2.45405,1.3783,0.41971,0.43239,0.38221,0.25701,1.26461,2.16907,1.36953,0.004505,0.004505,0.004505
5,37.6198,1.26423,2.30355,1.37251,0.39825,0.44561,0.37771,0.25881,1.24523,2.17188,1.38795,0.00434,0.00434,0.00434
6,44.6203,1.25086,2.20895,1.37677,0.43071,0.43692,0.39345,0.26767,1.23509,2.11395,1.37784,0.004175,0.004175,0.004175
7,52.3732,1.24159,2.06196,1.33018,0.52381,0.44704,0.4367,0.29118,1.22459,1.93941,1.3526,0.00401,0.00401,0.00401
8,59.3044,1.21097,1.99277,1.32365,0.47665,0.47429,0.45379,0.3037,1.24267,1.93532,1.36565,0.003845,0.003845,0.003845
9,66.4008,1.20754,1.98234,1.30842,0.51702,0.46607,0.4452,0.31104,1.19864,1.95673,1.30584,0.00368,0.00368,0.00368
10,73.4004,1.1652,1.84871,1.30299,0.52223,0.46887,0.48528,0.34004,1.20017,1.796,1.30975,0.003515,0.003515,0.003515
11,80.3443,1.17328,1.79886,1.28894,0.53432,0.50291,0.49472,0.34764,1.21931,1.74374,1.31058,0.00335,0.00335,0.00335
12,87.3174,1.14929,1.76244,1.26025,0.57715,0.51357,0.50079,0.33917,1.18405,1.83857,1.28911,0.003185,0.003185,0.003185
13,94.23,1.13671,1.75684,1.26563,0.52572,0.50993,0.51027,0.35631,1.18864,1.73587,1.32553,0.00302,0.00302,0.00302
14,101.313,1.12964,1.70473,1.26721,0.4826,0.50531,0.48153,0.33759,1.1848,1.79324,1.33138,0.002855,0.002855,0.002855
15,108.029,1.10948,1.65396,1.25857,0.55492,0.55942,0.54671,0.37589,1.15014,1.62333,1.2708,0.00269,0.00269,0.00269
16,115.202,1.12799,1.64151,1.24213,0.55611,0.51637,0.55171,0.38824,1.14785,1.66454,1.28414,0.002525,0.002525,0.002525
17,122.025,1.12169,1.59372,1.23579,0.52397,0.54312,0.53103,0.37328,1.18572,1.70438,1.3038,0.00236,0.00236,0.00236
18,129.06,1.10237,1.58341,1.23896,0.58493,0.52218,0.5454,0.36897,1.15456,1.58282,1.26817,0.002195,0.002195,0.002195
19,135.803,1.0718,1.52656,1.23021,0.55544,0.56589,0.55548,0.38746,1.137,1.60645,1.26354,0.00203,0.00203,0.00203
20,142.639,1.1059,1.51358,1.2291,0.62178,0.51893,0.56057,0.39069,1.15455,1.58187,1.26224,0.001865,0.001865,0.001865
21,150.319,1.04165,1.61507,1.20503,0.57078,0.55171,0.54279,0.37974,1.14448,1.6264,1.27809,0.0017,0.0017,0.0017
22,157.165,1.01815,1.57019,1.20043,0.63173,0.56686,0.58094,0.40117,1.14589,1.50854,1.2648,0.001535,0.001535,0.001535
23,164.05,1.00495,1.5403,1.1807,0.57917,0.60562,0.58671,0.4091,1.13733,1.52489,1.26622,0.00137,0.00137,0.00137
24,170.982,0.98237,1.47748,1.16085,0.6072,0.53129,0.56422,0.39977,1.13684,1.5456,1.25551,0.001205,0.001205,0.001205
25,177.889,0.98528,1.4808,1.17028,0.51699,0.60852,0.56813,0.39743,1.13148,1.56329,1.26542,0.00104,0.00104,0.00104
26,184.682,0.96478,1.42978,1.16032,0.59745,0.56271,0.57462,0.39365,1.13918,1.53211,1.26336,0.000875,0.000875,0.000875
27,191.552,0.95565,1.39952,1.14989,0.57197,0.59024,0.59604,0.41638,1.12857,1.50782,1.2674,0.00071,0.00071,0.00071
28,198.318,0.94992,1.3785,1.14025,0.57203,0.59298,0.5862,0.412,1.12994,1.50041,1.25366,0.000545,0.000545,0.000545
29,205.488,0.96572,1.40888,1.15076,0.60118,0.54634,0.58378,0.40848,1.12875,1.51155,1.25617,0.00038,0.00038,0.00038
30,212.235,0.92091,1.35167,1.13566,0.56422,0.58597,0.58287,0.40814,1.1115,1.5076,1.25114,0.000215,0.000215,0.000215
