epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63042,1.30641,3.74791,1.43361,0.00891,0.40572,0.11341,0.08959,1.15086,3.6087,1.30839,0.0688611,0.00163889,0.00163889
2,16.1737,1.29871,3.18148,1.4041,0.25617,0.27917,0.22912,0.16566,1.24697,2.77573,1.36142,0.0370854,0.00319647,0.00319647
3,23.4171,1.29539,2.6816,1.40833,0.33354,0.35257,0.28458,0.19081,1.33117,2.4435,1.49045,0.00519961,0.00464406,0.00464406
4,30.4157,1.3164,2.46668,1.39993,0.36852,0.39985,0.33184,0.22009,1.3436,2.24326,1.39109,0.004505,0.004505,0.004505
5,37.4506,1.29417,2.32737,1.3823,0.3887,0.41848,0.33304,0.22056,1.36882,2.43966,1.40203,0.00434,0.00434,0.00434
6,44.3454,1.30496,2.23807,1.39207,0.31867,0.36528,0.26012,0.17717,1.41482,2.50561,1.51842,0.004175,0.004175,0.004175
7,51.2305,1.28692,2.08662,1.36065,0.51618,0.42964,0.41078,0.27543,1.28271,2.05972,1.39483,0.00401,0.00401,0.00401
8,58.134,1.25301,2.0145,1.35817,0.42341,0.50997,0.42251,0.27636,1.252,2.00012,1.37157,0.003845,0.003845,0.003845
9,65.0786,1.25981,1.97918,1.34411,0.47891,0.41388,0.40884,0.27294,1.31017,2.06607,1.37738,0.00368,0.00368,0.00368
10,71.973,1.21248,1.86886,1.33098,0.43275,0.48329,0.46401,0.31587,1.27283,1.87695,1.36477,0.003515,0.003515,0.003515
11,78.9811,1.22299,1.81971,1.31908,0.46323,0.49392,0.46108,0.32225,1.20741,1.8035,1.35101,0.00335,0.00335,0.00335
12,85.8547,1.1848,1.75422,1.28956,0.50768,0.49912,0.4774,0.32916,1.20753,1.77067,1.30299,0.003185,0.003185,0.003185
13,92.8005,1.17024,1.74849,1.28741,0.47515,0.46668,0.46182,0.31865,1.27973,1.86396,1.40588,0.00302,0.00302,0.00302
14,99.6459,1.17135,1.68721,1.29504,0.51219,0.55068,0.5141,0.34721,1.23417,1.72119,1.34029,0.002855,0.002855,0.002855
15,106.508,1.13647,1.6288,1.27125,0.43939,0.49699,0.44785,0.30879,1.22392,1.83453,1.32571,0.00269,0.00269,0.00269
16,113.446,1.15904,1.63113,1.26007,0.54042,0.52121,0.51193,0.34967,1.22145,1.68208,1.3404,0.002525,0.002525,0.002525
17,120.377,1.16165,1.56806,1.25861,0.51127,0.54348,0.50867,0.35236,1.20688,1.68706,1.3068,0.00236,0.00236,0.00236
18,127.649,1.1307,1.56613,1.25113,0.58967,0.51691,0.54275,0.3706,1.19154,1.58415,1.30793,0.002195,0.002195,0.002195
19,134.505,1.10072,1.50366,1.25067,0.52661,0.56555,0.52722,0.36634,1.16162,1.66306,1.29079,0.00203,0.00203,0.00203
20,141.326,1.12255,1.47912,1.24033,0.57425,0.53021,0.54853,0.38345,1.19065,1.59799,1.30024,0.001865,0.001865,0.001865
21,148.773,1.06385,1.55486,1.20992,0.56275,0.52715,0.52905,0.35807,1.18812,1.64217,1.30769,0.0017,0.0017,0.0017
22,155.527,1.04962,1.5231,1.21405,0.5225,0.59277,0.55664,0.37738,1.18413,1.53084,1.29223,0.001535,0.001535,0.001535
23,162.217,1.02974,1.48113,1.18891,0.55348,0.58235,0.56687,0.39537,1.17269,1.54323,1.29181,0.00137,0.00137,0.00137
24,168.931,0.99985,1.4139,1.17166,0.58329,0.51455,0.53704,0.37703,1.16512,1.53933,1.29451,0.001205,0.001205,0.001205
25,175.549,1.00729,1.39378,1.17349,0.58534,0.51829,0.54415,0.37866,1.16577,1.57487,1.28361,0.00104,0.00104,0.00104
26,182.333,0.99135,1.35182,1.17059,0.56848,0.56003,0.55328,0.38211,1.17476,1.51711,1.29059,0.000875,0.000875,0.000875
27,189.101,0.97224,1.3175,1.15661,0.60314,0.54052,0.56957,0.40346,1.13739,1.46663,1.27517,0.00071,0.00071,0.00071
28,196.039,0.96367,1.29499,1.14714,0.55855,0.58336,0.57713,0.40728,1.14344,1.44663,1.27938,0.000545,0.000545,0.000545
29,202.85,0.97498,1.32157,1.15416,0.60125,0.5282,0.56581,0.40568,1.14222,1.44804,1.27383,0.00038,0.00038,0.00038
30,209.585,0.93832,1.26602,1.14153,0.62451,0.53338,0.58262,0.41054,1.12756,1.4396,1.26357,0.000215,0.000215,0.000215
