epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75845,1.302,3.75625,1.43515,0.01032,0.40112,0.1076,0.08532,1.14718,3.60144,1.28445,0.0688611,0.00163889,0.00163889
2,16.2883,1.29869,3.19708,1.40247,0.42672,0.24553,0.19782,0.14462,1.2555,2.91457,1.39582,0.0371855,0.00329659,0.00329659
3,23.3488,1.30631,2.72869,1.41548,0.30107,0.3501,0.28382,0.20086,1.28168,2.42824,1.41896,0.00547399,0.00491844,0.00491844
4,30.677,1.29643,2.49563,1.39484,0.37462,0.39919,0.33577,0.22878,1.27831,2.23458,1.38651,0.00487886,0.00487886,0.00487886
5,37.6871,1.26612,2.30315,1.37508,0.48694,0.40135,0.41701,0.28334,1.22042,2.10031,1.32462,0.00478603,0.00478603,0.00478603
6,45.0154,1.2755,2.21262,1.37987,0.464,0.43522,0.42206,0.28436,1.26597,2.07698,1.38433,0.00466841,0.00466841,0.00466841
7,52.0274,1.24782,2.03991,1.34284,0.44543,0.42935,0.40638,0.27572,1.28067,2.08878,1.4031,0.00452732,0.00452732,0.00452732
8,58.9246,1.22879,2.00153,1.32909,0.50028,0.515,0.49087,0.33803,1.21841,1.83777,1.31653,0.00436428,0.00436428,0.00436428
9,66.1489,1.22537,1.97771,1.32997,0.47407,0.47702,0.43014,0.29891,1.22667,1.94601,1.3474,0.0041811,0.0041811,0.0041811
10,73.1939,1.15907,1.83358,1.30545,0.43824,0.53661,0.48174,0.32907,1.22361,1.86576,1.33502,0.00397977,0.00397977,0.00397977
11,80.1202,1.17429,1.79559,1.28904,0.45495,0.5312,0.49091,0.33442,1.23637,1.79401,1.35017,0.0037625,0.0037625,0.0037625
12,87.0761,1.15159,1.7608,1.26942,0.5163,0.5332,0.50459,0.34662,1.21274,1.77533,1.31036,0.00353167,0.00353167,0.00353167
13,93.9227,1.14697,1.74568,1.27473,0.5641,0.51216,0.5191,0.35967,1.20067,1.73506,1.33544,0.00328982,0.00328982,0.00328982
14,100.808,1.11957,1.67918,1.26634,0.52576,0.5418,0.54076,0.37986,1.15385,1.63771,1.28198,0.00303958,0.00303958,0.00303958
15,107.603,1.11285,1.62652,1.2577,0.58377,0.55282,0.55877,0.38297,1.17478,1.58424,1.26352,0.00278371,0.00278371,0.00278371
16,114.704,1.12184,1.61704,1.24092,0.55888,0.58753,0.55578,0.38564,1.16816,1.58197,1.29479,0.002525,0.002525,0.002525
17,122.072,1.12393,1.5672,1.24172,0.58779,0.53473,0.54165,0.37302,1.17472,1.68953,1.29662,0.00226629,0.00226629,0.00226629
18,129.067,1.10329,1.55929,1.23862,0.59022,0.55954,0.57232,0.3963,1.15372,1.54057,1.25904,0.00201042,0.00201042,0.00201042
19,136.003,1.06424,1.50347,1.22651,0.55349,0.59972,0.57461,0.39422,1.13571,1.55711,1.25515,0.00176018,0.00176018,0.00176018
20,142.838,1.09738,1.48978,1.22558,0.56976,0.57987,0.57299,0.39581,1.12359,1.51638,1.2514,0.00151833,0.00151833,0.00151833
21,150.546,1.02027,1.5816,1.18779,0.58119,0.5618,0.54449,0.37249,1.15048,1.60155,1.25943,0.0012875,0.0012875,0.0012875
22,157.396,1.00919,1.53999,1.19242,0.59548,0.53362,0.55814,0.38789,1.14111,1.51889,1.25522,0.00107023,0.00107023,0.00107023
23,164.325,0.99157,1.51359,1.17434,0.59426,0.57515,0.57284,0.39885,1.1295,1.53802,1.24953,0.000868902,0.000868902,0.000868902
24,171.17,0.97033,1.45679,1.15604,0.55573,0.58208,0.55698,0.39641,1.11975,1.55727,1.25708,0.000685717,0.000685717,0.000685717
25,177.987,0.98072,1.46874,1.16426,0.55752,0.60628,0.57605,0.40737,1.12981,1.52313,1.25657,0.000522683,0.000522683,0.000522683
26,184.663,0.95147,1.42301,1.15424,0.6115,0.57162,0.5782,0.40518,1.12166,1.5281,1.25715,0.000381587,0.000381587,0.000381587
27,191.475,0.96075,1.4155,1.15824,0.57987,0.60316,0.59186,0.41615,1.11382,1.50461,1.24516,0.000263975,0.000263975,0.000263975
28,198.359,0.95656,1.38557,1.15038,0.58139,0.59575,0.5872,0.41542,1.10853,1.49417,1.24158,0.000171135,0.000171135,0.000171135
29,205.168,0.96472,1.429,1.15327,0.59908,0.57868,0.57786,0.40962,1.1198,1.50513,1.24741,0.000104085,0.000104085,0.000104085
30,212.11,0.92965,1.37806,1.14262,0.57538,0.59814,0.57907,0.41339,1.10896,1.49883,1.23913,6.35583e-05,6.35583e-05,6.35583e-05
