epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81433,1.302,3.75625,1.43515,0.01032,0.40112,0.1076,0.08532,1.14718,3.60144,1.28445,0.0688611,0.00163889,0.00163889
2,16.1364,1.29214,3.20791,1.40285,0.26752,0.25828,0.22593,0.17038,1.24005,2.78635,1.37018,0.0370854,0.00319647,0.00319647
3,23.2856,1.30114,2.72243,1.42543,0.29728,0.31846,0.29215,0.20774,1.27742,2.53317,1.46504,0.00519961,0.00464406,0.00464406
4,30.4737,1.29196,2.49223,1.39125,0.38595,0.41037,0.34264,0.2286,1.27266,2.19653,1.38954,0.004505,0.004505,0.004505
5,37.419,1.26747,2.32356,1.38663,0.44002,0.41453,0.38224,0.25174,1.27979,2.19102,1.40505,0.00434,0.00434,0.00434
6,44.5528,1.2619,2.21587,1.37801,0.49078,0.42542,0.39974,0.27225,1.22224,2.13563,1.36392,0.004175,0.004175,0.004175
7,51.4893,1.25114,2.07406,1.35092,0.51725,0.45072,0.46714,0.31676,1.21003,1.92817,1.3599,0.00401,0.00401,0.00401
8,58.6817,1.21309,2.0147,1.32946,0.45874,0.52916,0.46943,0.31918,1.19686,1.86978,1.32774,0.003845,0.003845,0.003845
9,65.6513,1.21845,2.00269,1.32716,0.4846,0.54181,0.47166,0.32932,1.18536,1.85528,1.30162,0.00368,0.00368,0.00368
10,72.5184,1.17409,1.84952,1.3035,0.5999,0.45675,0.5017,0.34336,1.19665,1.78765,1.3229,0.003515,0.003515,0.003515
11,80.7377,1.1506,2.02973,1.29613,0.53148,0.50747,0.48303,0.33218,1.20862,1.80565,1.31406,0.00335,0.00335,0.00335
12,87.4845,1.11614,1.90573,1.26581,0.55764,0.52965,0.5035,0.34366,1.22277,1.78944,1.30663,0.003185,0.003185,0.003185
13,94.2555,1.11072,1.89598,1.27046,0.50461,0.52146,0.49428,0.33736,1.22147,1.78699,1.31725,0.00302,0.00302,0.00302
14,100.965,1.1075,1.81767,1.25721,0.50852,0.53933,0.52819,0.35398,1.18945,1.69749,1.29729,0.002855,0.002855,0.002855
15,107.828,1.08543,1.80071,1.24041,0.52464,0.4829,0.49402,0.34569,1.18934,1.82212,1.289,0.00269,0.00269,0.00269
16,114.521,1.05327,1.71263,1.21683,0.59689,0.51613,0.51474,0.35849,1.1554,1.6698,1.28312,0.002525,0.002525,0.002525
17,121.61,1.05419,1.70858,1.22243,0.52104,0.55904,0.518,0.36661,1.16165,1.6797,1.26007,0.00236,0.00236,0.00236
18,128.354,1.05564,1.64709,1.22176,0.62163,0.4993,0.55341,0.38772,1.15088,1.61563,1.27063,0.002195,0.002195,0.002195
19,135.047,1.03279,1.6122,1.2104,0.59789,0.53283,0.54951,0.3835,1.15429,1.66029,1.27311,0.00203,0.00203,0.00203
20,141.786,1.01104,1.5474,1.18158,0.58063,0.52609,0.54947,0.38495,1.16168,1.66876,1.28414,0.001865,0.001865,0.001865
21,148.516,1.00689,1.54238,1.18397,0.59105,0.53407,0.53717,0.37641,1.14483,1.59967,1.2665,0.0017,0.0017,0.0017
22,155.235,1.00563,1.55055,1.17776,0.56191,0.54077,0.55694,0.39531,1.15597,1.56842,1.2698,0.001535,0.001535,0.001535
23,162.198,0.99002,1.47647,1.17039,0.56633,0.61803,0.58516,0.41178,1.16415,1.5331,1.27498,0.00137,0.00137,0.00137
24,168.989,0.96408,1.44377,1.15865,0.56355,0.55591,0.56281,0.39432,1.1478,1.55582,1.26194,0.001205,0.001205,0.001205
25,175.664,0.97661,1.41574,1.15912,0.62967,0.53436,0.57631,0.40766,1.15709,1.53807,1.27715,0.00104,0.00104,0.00104
26,182.383,0.94642,1.37047,1.14066,0.55703,0.59569,0.56154,0.39922,1.14746,1.55301,1.2644,0.000875,0.000875,0.000875
27,189.18,0.95892,1.37836,1.15093,0.57329,0.57726,0.56795,0.40436,1.14218,1.5306,1.26678,0.00071,0.00071,0.00071
28,196.054,0.93972,1.34591,1.13885,0.60349,0.56575,0.57762,0.40964,1.13549,1.51528,1.26116,0.000545,0.000545,0.000545
29,202.846,0.95143,1.39635,1.15082,0.57153,0.56054,0.5647,0.39641,1.14534,1.55347,1.25859,0.00038,0.00038,0.00038
30,209.532,0.92932,1.33897,1.14178,0.56444,0.59223,0.58291,0.40865,1.1375,1.51861,1.25841,0.000215,0.000215,0.000215
