epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.20728,1.302,3.75625,1.43515,0.01032,0.40112,0.1076,0.08532,1.14718,3.60144,1.28445,0.0688611,0.00163889,0.00163889
2,15.2156,1.2864,3.2016,1.39978,0.25874,0.22444,0.19743,0.14265,1.28381,2.90079,1.38839,0.0371617,0.00327283,0.00327283
3,22.1217,1.29894,2.69421,1.40753,0.32578,0.38572,0.31437,0.22594,1.27287,2.37395,1.39641,0.00542933,0.00487377,0.00487377
4,29.0302,1.28856,2.4481,1.37027,0.37777,0.41065,0.32229,0.21326,1.3342,2.27076,1.38458,0.0048515,0.0048515,0.0048515
5,36.0333,1.26209,2.29252,1.35944,0.41845,0.44308,0.39533,0.27012,1.22899,2.13625,1.32976,0.004802,0.004802,0.004802
6,42.9121,1.27041,2.20804,1.37093,0.45719,0.3972,0.36318,0.23472,1.33931,2.18245,1.43377,0.0047525,0.0047525,0.0047525
7,49.782,1.26714,2.05652,1.35543,0.4709,0.4607,0.4356,0.29651,1.25912,1.97277,1.38771,0.004703,0.004703,0.004703
8,56.6657,1.21937,1.98702,1.32307,0.49772,0.4786,0.47416,0.32044,1.20722,1.88878,1.31969,0.0046535,0.0046535,0.0046535
9,63.5321,1.22924,1.98749,1.32774,0.42981,0.49372,0.43499,0.29644,1.22626,1.92531,1.2899,0.004604,0.004604,0.004604
10,70.3848,1.18332,1.85778,1.31414,0.45872,0.51514,0.46682,0.32773,1.22583,1.8229,1.3372,0.0045545,0.0045545,0.0045545
11,77.0387,1.20276,1.80949,1.29726,0.48964,0.46714,0.46745,0.31196,1.25829,1.9295,1.36546,0.004505,0.004505,0.004505
12,83.9094,1.16604,1.77614,1.27918,0.48966,0.48255,0.44963,0.30665,1.21927,1.98501,1.3097,0.0044555,0.0044555,0.0044555
13,90.6384,1.16097,1.76156,1.2798,0.56339,0.48697,0.51154,0.3512,1.21231,1.79141,1.34309,0.004406,0.004406,0.004406
14,97.5139,1.15634,1.72187,1.28066,0.48875,0.50323,0.48659,0.34152,1.1873,1.72688,1.28241,0.0043565,0.0043565,0.0043565
15,104.291,1.14869,1.67469,1.27769,0.55002,0.54039,0.52045,0.35933,1.19449,1.68514,1.28861,0.004307,0.004307,0.004307
16,111.309,1.13909,1.65609,1.2553,0.52589,0.52399,0.51692,0.35313,1.19928,1.67277,1.30819,0.0042575,0.0042575,0.0042575
17,118.2,1.16224,1.61214,1.2578,0.55956,0.5212,0.52078,0.36537,1.19756,1.6745,1.3087,0.004208,0.004208,0.004208
18,125.056,1.13422,1.61141,1.2545,0.51273,0.53077,0.53396,0.35809,1.22943,1.64222,1.32847,0.0041585,0.0041585,0.0041585
19,131.914,1.1098,1.55211,1.25128,0.52149,0.56163,0.52767,0.35982,1.22189,1.70315,1.31675,0.004109,0.004109,0.004109
20,138.677,1.14898,1.54085,1.25405,0.59155,0.49631,0.53229,0.36665,1.23017,1.65437,1.34923,0.0040595,0.0040595,0.0040595
21,145.529,1.08761,1.46846,1.22259,0.58094,0.5069,0.49624,0.3326,1.21775,1.73696,1.32108,0.00401,0.00401,0.00401
22,152.624,1.11886,1.47845,1.22951,0.52706,0.54966,0.51368,0.35045,1.19606,1.69373,1.30693,0.0039605,0.0039605,0.0039605
