epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75118,1.302,3.75625,1.43515,0.01032,0.40112,0.1076,0.08532,1.14718,3.60144,1.28445,0.0688611,0.00163889,0.00163889
2,16.0258,1.29214,3.20791,1.40285,0.26752,0.25828,0.22593,0.17038,1.24005,2.78635,1.37018,0.0370854,0.00319647,0.00319647
3,23.1083,1.30114,2.72243,1.42543,0.29728,0.31846,0.29215,0.20774,1.27742,2.53317,1.46504,0.00519961,0.00464406,0.00464406
4,30.2433,1.29196,2.49223,1.39125,0.38595,0.41037,0.34264,0.2286,1.27266,2.19653,1.38954,0.004505,0.004505,0.004505
5,37.3674,1.26747,2.32356,1.38663,0.44002,0.41453,0.38224,0.25174,1.27979,2.19102,1.40505,0.00434,0.00434,0.00434
6,44.3521,1.2619,2.21587,1.37801,0.49078,0.42542,0.39974,0.27225,1.22224,2.13563,1.36392,0.004175,0.004175,0.004175
7,51.0527,1.25114,2.07406,1.35092,0.51725,0.45072,0.46714,0.31676,1.21003,1.92817,1.3599,0.00401,0.00401,0.00401
8,57.8093,1.21309,2.0147,1.32946,0.45874,0.52916,0.46943,0.31918,1.19686,1.86978,1.32774,0.003845,0.003845,0.003845
9,64.4857,1.21845,2.00269,1.32716,0.4846,0.54181,0.47166,0.32932,1.18536,1.85528,1.30162,0.00368,0.00368,0.00368
10,71.4127,1.17409,1.84952,1.3035,0.5999,0.45675,0.5017,0.34336,1.19665,1.78765,1.3229,0.003515,0.003515,0.003515
11,78.1679,1.18022,1.81704,1.29556,0.54976,0.52399,0.51485,0.35239,1.19892,1.79513,1.31657,0.00335,0.00335,0.00335
12,85.0335,1.16001,1.77647,1.27321,0.55451,0.49464,0.47592,0.32871,1.15458,1.82959,1.27569,0.003185,0.003185,0.003185
13,91.867,1.13581,1.76063,1.27294,0.54358,0.53926,0.52496,0.37148,1.15816,1.69583,1.29753,0.00302,0.00302,0.00302
14,98.7945,1.12757,1.694,1.27348,0.48238,0.541,0.51185,0.35654,1.15635,1.71958,1.29745,0.002855,0.002855,0.002855
15,105.575,1.11344,1.65234,1.25431,0.53685,0.55499,0.53203,0.36684,1.16648,1.63963,1.26909,0.00269,0.00269,0.00269
16,112.456,1.11755,1.64408,1.23733,0.5775,0.53928,0.5443,0.3764,1.1425,1.61509,1.25769,0.002525,0.002525,0.002525
17,119.313,1.12845,1.59862,1.23559,0.54652,0.54118,0.53101,0.36197,1.17756,1.68915,1.2821,0.00236,0.00236,0.00236
18,126.313,1.10366,1.59857,1.23608,0.548,0.58324,0.55958,0.38963,1.13548,1.56771,1.24214,0.002195,0.002195,0.002195
19,133.224,1.07419,1.52627,1.23254,0.56803,0.54907,0.53989,0.37756,1.13876,1.62197,1.26627,0.00203,0.00203,0.00203
20,140.047,1.09985,1.51749,1.22794,0.56713,0.58149,0.56048,0.3865,1.14504,1.5748,1.2579,0.001865,0.001865,0.001865
21,146.913,1.04776,1.44664,1.20565,0.59039,0.54093,0.52167,0.36093,1.11183,1.6397,1.25069,0.0017,0.0017,0.0017
22,153.567,1.07025,1.46872,1.20606,0.52775,0.60377,0.5552,0.39161,1.14275,1.60847,1.26118,0.001535,0.001535,0.001535
23,160.331,1.08829,1.43575,1.21491,0.64025,0.53041,0.57907,0.40779,1.13193,1.51429,1.25026,0.00137,0.00137,0.00137
24,167.159,1.03698,1.43888,1.20463,0.627,0.54354,0.58139,0.40228,1.13302,1.51223,1.25498,0.001205,0.001205,0.001205
25,173.888,1.03167,1.41203,1.18873,0.52008,0.60896,0.57086,0.39501,1.13579,1.51695,1.25638,0.00104,0.00104,0.00104
26,180.576,1.02877,1.3686,1.17846,0.59551,0.5835,0.58141,0.40812,1.12597,1.49809,1.25009,0.000875,0.000875,0.000875
27,187.379,1.03847,1.37422,1.19487,0.61072,0.56538,0.57578,0.40394,1.11185,1.49347,1.24714,0.00071,0.00071,0.00071
28,194.726,1.02541,1.35473,1.19201,0.56298,0.6047,0.57395,0.40423,1.12145,1.4897,1.24958,0.000545,0.000545,0.000545
29,201.406,1.01916,1.37629,1.18903,0.54807,0.62972,0.57135,0.40175,1.11469,1.48781,1.23539,0.00038,0.00038,0.00038
30,208.171,1.00608,1.32911,1.17918,0.57641,0.61153,0.57976,0.41036,1.10629,1.46512,1.23469,0.000215,0.000215,0.000215
