epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63377,1.3393,3.83148,1.46672,0.00622,0.34633,0.04732,0.03551,1.21672,3.70967,1.38052,0.06755,0.000327778,0.000327778
2,15.9497,1.26692,3.68487,1.39385,0.00904,0.458,0.10586,0.08252,1.17504,3.44951,1.30303,0.0345282,0.000639294,0.000639294
3,23.016,1.25754,3.33156,1.38218,0.22477,0.19021,0.18339,0.13496,1.23598,2.85289,1.38017,0.00148437,0.000928811,0.000928811
4,29.9767,1.27808,3.01569,1.38961,0.24494,0.28248,0.23009,0.1668,1.2042,2.66914,1.36733,0.000901,0.000901,0.000901
5,37.2996,1.23534,2.79616,1.38633,0.28717,0.34772,0.28507,0.21033,1.20138,2.48455,1.36828,0.000868,0.000868,0.000868
6,44.2669,1.23255,2.65669,1.38338,0.35284,0.36646,0.34258,0.25238,1.15684,2.31923,1.34324,0.000835,0.000835,0.000835
7,51.9351,1.21034,2.4769,1.33707,0.38685,0.44447,0.37135,0.26969,1.16472,2.1977,1.3502,0.000802,0.000802,0.000802
8,59.3403,1.19732,2.38055,1.33588,0.42747,0.48236,0.40299,0.28596,1.16556,2.16945,1.32452,0.000769,0.000769,0.000769
9,66.3084,1.20027,2.35355,1.33655,0.47731,0.46325,0.43436,0.30376,1.16145,2.05851,1.33697,0.000736,0.000736,0.000736
10,73.3149,1.1566,2.17095,1.31292,0.48945,0.5014,0.46106,0.32817,1.11586,1.94468,1.29648,0.000703,0.000703,0.000703
11,80.4361,1.17415,2.13115,1.30873,0.51073,0.50841,0.47929,0.33584,1.12404,1.89513,1.30391,0.00067,0.00067,0.00067
12,87.4774,1.16013,2.08015,1.29833,0.49634,0.5242,0.48315,0.3448,1.13403,1.89281,1.31095,0.000637,0.000637,0.000637
13,94.4429,1.14172,2.0532,1.29925,0.52933,0.50102,0.50465,0.35926,1.11471,1.83068,1.29758,0.000604,0.000604,0.000604
14,101.364,1.13807,1.99713,1.29546,0.51983,0.53767,0.51572,0.36496,1.13436,1.84754,1.31117,0.000571,0.000571,0.000571
15,108.2,1.12334,1.93947,1.28387,0.54586,0.54177,0.51684,0.364,1.12865,1.83848,1.29082,0.000538,0.000538,0.000538
16,115.312,1.14708,1.96943,1.28342,0.55145,0.50172,0.51506,0.36173,1.124,1.80522,1.2943,0.000505,0.000505,0.000505
17,122.267,1.14167,1.90664,1.26861,0.59266,0.51984,0.53055,0.3843,1.102,1.77849,1.27572,0.000472,0.000472,0.000472
18,129.248,1.12749,1.91498,1.27829,0.52792,0.54516,0.53636,0.38451,1.09676,1.74296,1.28385,0.000439,0.000439,0.000439
19,136.135,1.09903,1.86235,1.27345,0.5399,0.55375,0.53503,0.38332,1.10088,1.73746,1.28299,0.000406,0.000406,0.000406
20,143.003,1.13066,1.83288,1.26963,0.59032,0.51904,0.55089,0.38544,1.09199,1.72817,1.27788,0.000373,0.000373,0.000373
21,150.736,1.06799,2.01401,1.2468,0.53505,0.53523,0.52439,0.37133,1.11565,1.82321,1.287,0.00034,0.00034,0.00034
22,157.543,1.05875,2.0078,1.25101,0.51102,0.56227,0.54041,0.3767,1.10243,1.75066,1.27677,0.000307,0.000307,0.000307
23,164.575,1.03795,1.97165,1.23218,0.53517,0.55488,0.55483,0.39518,1.07734,1.70223,1.25737,0.000274,0.000274,0.000274
24,171.52,1.02089,1.89815,1.20939,0.58822,0.52845,0.56549,0.40225,1.07878,1.6981,1.25062,0.000241,0.000241,0.000241
25,178.353,1.04115,1.94081,1.22279,0.58588,0.55035,0.57663,0.40942,1.08879,1.68014,1.2573,0.000208,0.000208,0.000208
26,185.165,1.01382,1.89591,1.21296,0.50889,0.61051,0.57346,0.40328,1.10173,1.6666,1.26227,0.000175,0.000175,0.000175
27,192.296,1.02531,1.86574,1.223,0.54887,0.5737,0.57528,0.4078,1.0864,1.66859,1.25657,0.000142,0.000142,0.000142
28,199.273,1.0091,1.85236,1.20542,0.60736,0.53002,0.58098,0.40883,1.09213,1.66702,1.25989,0.000109,0.000109,0.000109
29,206.364,1.02568,1.89331,1.21592,0.59295,0.53441,0.57181,0.40564,1.08845,1.67244,1.25504,7.6e-05,7.6e-05,7.6e-05
30,213.25,0.99742,1.84202,1.20831,0.55698,0.57044,0.57429,0.40619,1.08287,1.66891,1.24929,4.3e-05,4.3e-05,4.3e-05
