epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96703,1.302,3.75625,1.43515,0.01032,0.40112,0.1076,0.08532,1.14718,3.60144,1.28445,0.0688611,0.00163889,0.00163889
2,14.8922,1.29706,3.20353,1.40344,0.45605,0.24069,0.20751,0.15147,1.27752,2.86442,1.39304,0.037129,0.00324011,0.00324011
3,21.9061,1.29356,2.71957,1.42686,0.37744,0.34852,0.30224,0.20619,1.30239,2.39976,1.46042,0.00533088,0.00477532,0.00477532
4,29.0386,1.29809,2.46879,1.39156,0.44807,0.39186,0.36982,0.24693,1.28115,2.19439,1.40537,0.004703,0.004703,0.004703
5,36.0497,1.27292,2.30902,1.38628,0.39781,0.42098,0.35901,0.24478,1.2935,2.29142,1.41378,0.004604,0.004604,0.004604
6,42.7711,1.27786,2.22345,1.39464,0.42381,0.41584,0.37029,0.24827,1.32917,2.24634,1.46545,0.004505,0.004505,0.004505
7,49.9476,1.25097,2.06178,1.3446,0.4274,0.45684,0.39662,0.27488,1.23079,2.06626,1.35859,0.004406,0.004406,0.004406
8,56.7403,1.21894,2.00651,1.33262,0.45901,0.47381,0.4525,0.3116,1.22415,1.90262,1.34186,0.004307,0.004307,0.004307
9,63.8355,1.22392,1.99152,1.33614,0.41205,0.44735,0.40674,0.27607,1.24244,2.08677,1.34952,0.004208,0.004208,0.004208
10,70.6334,1.17169,1.84352,1.30507,0.4938,0.49949,0.48512,0.33744,1.21215,1.84128,1.31381,0.004109,0.004109,0.004109
11,77.3476,1.18404,1.80594,1.28985,0.5192,0.54632,0.5045,0.34534,1.1928,1.72652,1.32864,0.00401,0.00401,0.00401
12,84.3158,1.17182,1.7632,1.28462,0.54935,0.47956,0.46842,0.32074,1.18903,1.81824,1.30026,0.003911,0.003911,0.003911
13,91.0084,1.15119,1.75905,1.28356,0.50811,0.49003,0.48869,0.33452,1.20045,1.77822,1.33104,0.003812,0.003812,0.003812
14,97.9275,1.13555,1.69051,1.2754,0.53319,0.52391,0.51185,0.3557,1.16987,1.6891,1.33077,0.003713,0.003713,0.003713
15,104.7,1.1317,1.65794,1.26782,0.52616,0.57336,0.54143,0.36935,1.18208,1.5989,1.28957,0.003614,0.003614,0.003614
16,111.774,1.13471,1.65392,1.25753,0.49494,0.50165,0.46326,0.31914,1.21231,1.78769,1.35723,0.003515,0.003515,0.003515
17,118.575,1.15368,1.60957,1.25661,0.48871,0.50279,0.46727,0.32229,1.23377,1.77379,1.32753,0.003416,0.003416,0.003416
18,125.485,1.11986,1.59705,1.2472,0.48911,0.56006,0.517,0.35736,1.18579,1.6197,1.28216,0.003317,0.003317,0.003317
19,132.353,1.10033,1.54818,1.25,0.46555,0.55358,0.52096,0.3622,1.1861,1.71225,1.29684,0.003218,0.003218,0.003218
20,139.225,1.12097,1.51445,1.24118,0.52753,0.5106,0.51513,0.36111,1.18275,1.7405,1.30825,0.003119,0.003119,0.003119
21,146.06,1.06295,1.44589,1.21278,0.55939,0.54512,0.51465,0.35926,1.13301,1.62041,1.27009,0.00302,0.00302,0.00302
22,152.926,1.10072,1.47593,1.21839,0.52332,0.52821,0.50517,0.34798,1.1731,1.68672,1.29982,0.002921,0.002921,0.002921
23,159.835,1.09891,1.44222,1.22128,0.55469,0.57558,0.56134,0.38735,1.16687,1.56074,1.27958,0.002822,0.002822,0.002822
24,166.648,1.06128,1.43784,1.21126,0.54334,0.54821,0.54742,0.38335,1.1687,1.58544,1.29325,0.002723,0.002723,0.002723
25,173.559,1.05908,1.41574,1.20097,0.53621,0.55274,0.54227,0.37704,1.16677,1.59091,1.27748,0.002624,0.002624,0.002624
26,180.427,1.05906,1.35539,1.194,0.59212,0.56956,0.57935,0.40735,1.15544,1.49367,1.26758,0.002525,0.002525,0.002525
27,187.229,1.06642,1.38189,1.20789,0.54462,0.53695,0.54244,0.37827,1.17919,1.56636,1.31243,0.002426,0.002426,0.002426
28,193.987,1.04796,1.35029,1.20251,0.5727,0.54622,0.55692,0.38874,1.16839,1.5359,1.28331,0.002327,0.002327,0.002327
29,200.755,1.04364,1.35399,1.19595,0.564,0.55651,0.56103,0.39778,1.14015,1.51103,1.25935,0.002228,0.002228,0.002228
30,207.499,1.0291,1.29202,1.18644,0.54691,0.56566,0.55874,0.3864,1.16882,1.5577,1.28564,0.002129,0.002129,0.002129
31,214.265,1.03278,1.30895,1.18331,0.63292,0.50048,0.55388,0.38744,1.12976,1.51828,1.24592,0.00203,0.00203,0.00203
32,221.506,1.03927,1.31351,1.18069,0.59692,0.5765,0.57838,0.4068,1.13864,1.47965,1.26936,0.001931,0.001931,0.001931
33,228.281,1.00655,1.28005,1.17624,0.56161,0.56476,0.54694,0.38192,1.15067,1.50271,1.28452,0.001832,0.001832,0.001832
34,235.416,1.00377,1.22966,1.16894,0.56175,0.58254,0.54215,0.38483,1.1359,1.48923,1.25569,0.001733,0.001733,0.001733
35,242.214,1.03489,1.26702,1.1738,0.59363,0.56139,0.56912,0.39104,1.15543,1.4551,1.26357,0.001634,0.001634,0.001634
36,248.987,0.99483,1.25889,1.1745,0.54159,0.5654,0.55238,0.38662,1.1709,1.48319,1.28659,0.001535,0.001535,0.001535
37,255.827,1.01112,1.24335,1.17443,0.64177,0.49243,0.54791,0.3817,1.14146,1.4612,1.26924,0.001436,0.001436,0.001436
38,262.771,1.01785,1.21957,1.16266,0.57956,0.55697,0.5492,0.39217,1.13607,1.46436,1.2608,0.001337,0.001337,0.001337
39,269.523,1.00489,1.20445,1.16707,0.58018,0.57071,0.57547,0.40839,1.1413,1.45065,1.27043,0.001238,0.001238,0.001238
40,276.463,0.99448,1.19497,1.15184,0.57481,0.56854,0.54968,0.39068,1.155,1.51261,1.28263,0.001139,0.001139,0.001139
41,284.241,0.94216,1.25673,1.12919,0.54673,0.57632,0.54654,0.38654,1.14915,1.5,1.28315,0.00104,0.00104,0.00104
42,290.822,0.91515,1.19984,1.1236,0.58265,0.55733,0.5595,0.40004,1.1329,1.47996,1.26263,0.000941,0.000941,0.000941
43,297.557,0.92056,1.1697,1.11704,0.6425,0.53197,0.5756,0.40894,1.13507,1.46927,1.26103,0.000842,0.000842,0.000842
44,304.255,0.89714,1.1353,1.09916,0.61894,0.52047,0.5664,0.40507,1.12953,1.46483,1.26203,0.000743,0.000743,0.000743
45,311.018,0.90803,1.17025,1.11061,0.65595,0.51143,0.57506,0.40903,1.11687,1.42246,1.25274,0.000644,0.000644,0.000644
46,317.572,0.89051,1.11409,1.09899,0.5999,0.55583,0.57485,0.41058,1.11365,1.42069,1.24886,0.000545,0.000545,0.000545
47,324.216,0.89546,1.1251,1.10598,0.5797,0.56208,0.57748,0.40522,1.13187,1.42211,1.25938,0.000446,0.000446,0.000446
48,330.937,0.88157,1.09181,1.0959,0.55604,0.59353,0.58046,0.41098,1.14361,1.42231,1.26992,0.000347,0.000347,0.000347
49,337.793,0.87663,1.08843,1.09123,0.59821,0.5637,0.58761,0.41484,1.13233,1.40893,1.26156,0.000248,0.000248,0.000248
50,345.105,0.87707,1.08594,1.08488,0.57713,0.56793,0.58379,0.41677,1.13238,1.40991,1.2578,0.000149,0.000149,0.000149
