epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96704,1.29578,3.69508,1.42261,0.01111,0.46347,0.12402,0.09574,1.1899,3.56132,1.32785,0.04395,0.00295,0.00295
2,16.1663,1.3198,3.02676,1.40922,0.4981,0.26198,0.23804,0.17514,1.32009,2.77293,1.47241,0.004835,0.004835,0.004835
3,23.1631,1.31937,2.61559,1.41799,0.3123,0.37093,0.28072,0.19672,1.32766,2.3997,1.46421,0.00467,0.00467,0.00467
4,30.4296,1.29417,2.42247,1.3735,0.33839,0.4193,0.33286,0.22016,1.33319,2.27325,1.39737,0.004505,0.004505,0.004505
5,37.2636,1.24609,2.25151,1.34935,0.42406,0.42609,0.37832,0.2605,1.27553,2.15514,1.39855,0.00434,0.00434,0.00434
6,44.0864,1.26145,2.14948,1.36202,0.43115,0.44243,0.38356,0.25703,1.26393,2.16018,1.39616,0.004175,0.004175,0.004175
7,50.8984,1.23892,2.02546,1.32923,0.49663,0.51717,0.48071,0.32621,1.21746,1.83435,1.3305,0.00401,0.00401,0.00401
8,57.7916,1.20736,1.97128,1.32535,0.53702,0.46319,0.46995,0.32923,1.18084,1.88008,1.31512,0.003845,0.003845,0.003845
9,65.3413,1.2008,1.94924,1.3104,0.50376,0.48084,0.4548,0.31258,1.19021,1.89323,1.30733,0.00368,0.00368,0.00368
10,72.2436,1.16617,1.81723,1.30272,0.55236,0.48333,0.51051,0.35269,1.193,1.73206,1.2999,0.003515,0.003515,0.003515
11,79.1894,1.17553,1.7918,1.28177,0.51596,0.52795,0.47752,0.32916,1.18219,1.80217,1.314,0.00335,0.00335,0.00335
12,86.2147,1.1432,1.74707,1.26426,0.52048,0.53015,0.49484,0.34727,1.18363,1.80023,1.31206,0.003185,0.003185,0.003185
13,92.9873,1.1365,1.7268,1.27083,0.54165,0.53482,0.51664,0.36128,1.16058,1.75291,1.31625,0.00302,0.00302,0.00302
14,99.8908,1.12284,1.6816,1.26742,0.53704,0.5089,0.53047,0.36698,1.17793,1.68886,1.31813,0.002855,0.002855,0.002855
15,106.895,1.11679,1.62804,1.25983,0.52305,0.56599,0.53618,0.3645,1.17695,1.61139,1.28093,0.00269,0.00269,0.00269
16,113.669,1.12466,1.62791,1.24144,0.58592,0.51163,0.53774,0.37394,1.1752,1.65825,1.30956,0.002525,0.002525,0.002525
17,120.643,1.13092,1.57835,1.23877,0.55574,0.56204,0.54732,0.37525,1.17599,1.63178,1.29178,0.00236,0.00236,0.00236
18,127.323,1.10038,1.57865,1.23429,0.54538,0.56314,0.53977,0.3697,1.14824,1.61247,1.28676,0.002195,0.002195,0.002195
19,134.21,1.06942,1.50781,1.23193,0.52306,0.59441,0.54344,0.37635,1.13542,1.59616,1.25932,0.00203,0.00203,0.00203
20,141.148,1.11222,1.51125,1.23997,0.55953,0.54751,0.55378,0.38092,1.15866,1.55265,1.27536,0.001865,0.001865,0.001865
21,148.844,1.0304,1.5976,1.19521,0.52697,0.59389,0.54479,0.38034,1.1512,1.6318,1.27231,0.0017,0.0017,0.0017
22,155.785,1.02817,1.55471,1.19853,0.55513,0.57537,0.55041,0.38292,1.1266,1.54958,1.26349,0.001535,0.001535,0.001535
23,162.592,1.00493,1.5223,1.17582,0.56085,0.58185,0.56031,0.39343,1.14851,1.52584,1.26573,0.00137,0.00137,0.00137
24,169.478,0.98119,1.48704,1.16077,0.56471,0.56908,0.55501,0.39607,1.14324,1.5733,1.27939,0.001205,0.001205,0.001205
25,176.328,0.99345,1.48243,1.17263,0.65256,0.51383,0.56835,0.39696,1.13925,1.54388,1.2607,0.00104,0.00104,0.00104
26,183.188,0.9632,1.41888,1.15586,0.59043,0.56984,0.57421,0.40514,1.15371,1.52513,1.27372,0.000875,0.000875,0.000875
27,189.955,0.96511,1.39653,1.15913,0.58408,0.59202,0.58445,0.41318,1.12089,1.47008,1.25866,0.00071,0.00071,0.00071
28,196.733,0.95295,1.36838,1.14526,0.58568,0.57289,0.56751,0.40228,1.12141,1.49977,1.25133,0.000545,0.000545,0.000545
29,203.688,0.9745,1.41711,1.15907,0.57068,0.59143,0.56943,0.40332,1.13085,1.49408,1.2544,0.00038,0.00038,0.00038
30,210.529,0.92344,1.35468,1.13409,0.54058,0.62898,0.5772,0.40883,1.12715,1.48836,1.25701,0.000215,0.000215,0.000215
